timestamp,event_id,event_type,severity,drowsiness_score,speed,frame_number,evidence_filename,clip_filename,details
2026-07-29 15:58:52,evt_941_2403,HEAD_POSE_TILT,WARNING,49.2,80.3,941,evidence_HEAD_POSE_TILT_20260729_155852_frame_941.jpg,event_HEAD_POSE_TILT_20260729_155848.mp4,"Driver head tilt/distraction: pitch=177.2, roll=-2.4, yaw=30.1"
2026-07-29 15:58:54,evt_970_4386,HEAD_POSE_TILT,WARNING,46.4,84.6,970,evidence_HEAD_POSE_TILT_20260729_155854_frame_970.jpg,event_HEAD_POSE_TILT_20260729_155854.mp4,"Driver head tilt/distraction: pitch=173.5, roll=-4.8, yaw=20.2"
2026-07-29 15:58:55,evt_998_5903,PHONE_USAGE,CRITICAL,49.2,84.9,998,evidence_PHONE_USAGE_20260729_155855_frame_998.jpg,event_HEAD_POSE_TILT_20260729_155854.mp4,Driver detected holding cell phone.
2026-07-29 15:58:56,evt_1000_6352,HEAD_POSE_TILT,WARNING,48.0,84.0,1000,evidence_HEAD_POSE_TILT_20260729_155856_frame_1000.jpg,event_HEAD_POSE_TILT_20260729_155854.mp4,"Driver head tilt/distraction: pitch=-178.4, roll=-0.1, yaw=-27.7"
2026-07-29 15:58:58,evt_1029_8238,HEAD_POSE_TILT,WARNING,43.0,80.3,1029,evidence_HEAD_POSE_TILT_20260729_155858_frame_1029.jpg,event_HEAD_POSE_TILT_20260729_155858.mp4,"Driver head tilt/distraction: pitch=175.4, roll=-2.6, yaw=-21.0"
2026-07-29 15:59:00,evt_1058_151,HEAD_POSE_TILT,WARNING,35.8,76.4,1058,evidence_HEAD_POSE_TILT_20260729_155900_frame_1058.jpg,event_HEAD_POSE_TILT_20260729_155858.mp4,"Driver head tilt/distraction: pitch=-175.2, roll=-3.6, yaw=-34.5"
2026-07-29 15:59:01,evt_1087_1864,HEAD_POSE_TILT,WARNING,30.8,75.9,1087,evidence_HEAD_POSE_TILT_20260729_155901_frame_1087.jpg,event_HEAD_POSE_TILT_20260729_155858.mp4,"Driver head tilt/distraction: pitch=-175.4, roll=6.9, yaw=-28.2"
2026-07-29 15:59:04,evt_1119_4044,HEAD_POSE_TILT,WARNING,52.2,78.1,1119,evidence_HEAD_POSE_TILT_20260729_155904_frame_1119.jpg,event_HEAD_POSE_TILT_20260729_155903.mp4,"Driver head tilt/distraction: pitch=171.8, roll=-21.2, yaw=43.2"
2026-07-29 15:59:05,evt_1148_5929,HEAD_POSE_TILT,WARNING,58.2,81.8,1148,evidence_HEAD_POSE_TILT_20260729_155905_frame_1148.jpg,event_HEAD_POSE_TILT_20260729_155903.mp4,"Driver head tilt/distraction: pitch=173.2, roll=-14.8, yaw=29.0"
2026-07-29 15:59:07,evt_1177_7878,HEAD_POSE_TILT,WARNING,55.4,85.3,1177,evidence_HEAD_POSE_TILT_20260729_155907_frame_1177.jpg,event_HEAD_POSE_TILT_20260729_155903.mp4,"Driver head tilt/distraction: pitch=171.2, roll=-18.2, yaw=29.4"
2026-07-29 15:59:10,evt_1205_63,PHONE_USAGE,CRITICAL,46.8,83.7,1205,evidence_PHONE_USAGE_20260729_155910_frame_1205.jpg,event_PHONE_USAGE_20260729_155909.mp4,Driver detected holding cell phone.
2026-07-29 15:59:10,evt_1206_488,HEAD_POSE_TILT,WARNING,46.0,82.5,1206,evidence_HEAD_POSE_TILT_20260729_155910_frame_1206.jpg,event_PHONE_USAGE_20260729_155909.mp4,"Driver head tilt/distraction: pitch=169.5, roll=-12.9, yaw=25.8"
2026-07-29 15:59:16,evt_1310_6543,DRIVER_MISSING,CRITICAL,36.0,77.5,1310,evidence_DRIVER_MISSING_20260729_155916_frame_1310.jpg,event_DRIVER_MISSING_20260729_155916.mp4,Driver's face missing/not detected for > 2 seconds.
2026-07-29 15:59:17,evt_1321_7692,HEAD_POSE_TILT,WARNING,43.2,79.4,1321,evidence_HEAD_POSE_TILT_20260729_155917_frame_1321.jpg,event_DRIVER_MISSING_20260729_155916.mp4,"Driver head tilt/distraction: pitch=164.4, roll=-21.8, yaw=23.2"
2026-07-29 15:59:19,evt_1350_9649,HEAD_POSE_TILT,WARNING,88.8,83.4,1350,evidence_HEAD_POSE_TILT_20260729_155919_frame_1350.jpg,event_DRIVER_MISSING_20260729_155916.mp4,"Driver head tilt/distraction: pitch=167.5, roll=-20.8, yaw=37.1"
